,ID,Name,Country,Lat,Lng,CurrCond,TempF,Hum,Cloud,WindSpd,DateTime,EqtrDist
60,3874787,Punta Arenas,CL,-53.16,-70.91,Drizzle,33.37,91,90,8.05,1562138808,3678.672
61,2450173,Taoudenni,ML,22.68,-3.98,Clear,91.92,12,0,6.22,1562138808,1569.4560000000001
62,962367,Richards Bay,ZA,-28.77,32.06,Clear,61.68,45,0,6.67,1562138808,1990.884
63,5848280,Kapaa,US,22.08,-159.32,Clouds,77.81,78,75,10.29,1562138808,1527.936
64,3372707,Ribeira Grande,PT,38.52,-28.7,Clouds,68.0,82,20,3.36,1562138809,2665.5840000000003
65,3423146,Ilulissat,GL,69.22,-51.1,Clouds,37.4,93,34,5.82,1562138810,4790.024
66,1633419,Padang,ID,-0.92,100.36,Clouds,82.38,75,100,5.82,1562138810,63.66400000000001
67,1733432,Kota Kinabalu,MY,5.98,116.07,Clouds,91.69,56,75,3.36,1562138811,413.81600000000003
68,3443061,Chuy,UY,-33.69,-53.46,Clouds,48.0,62,27,18.57,1562138812,2331.348
69,3652764,Puerto Ayora,EC,-0.74,-90.35,Clear,70.32,84,2,8.5,1562138812,51.208
70,2122493,Omsukchan,RU,62.53,155.8,Clouds,69.42,36,88,8.34,1562138813,4327.076
71,3899695,Ancud,CL,-41.87,-73.83,Fog,42.8,100,90,6.93,1562138813,2897.404
72,2015306,Tiksi,RU,71.64,128.87,Rain,39.72,86,99,10.85,1562138813,4957.488
73,2388614,Boda,CF,4.32,17.47,Clouds,71.22,91,52,0.6,1562138814,298.944
74,1486910,Komsomolskiy,RU,67.55,63.78,Clear,78.96,36,0,16.53,1562138814,4674.46
75,88533,Awjilah,LY,29.14,21.3,Clear,76.62,52,0,8.32,1562138814,2016.488
76,3471451,Arraial do Cabo,BR,-22.97,-42.02,Clouds,73.02,68,99,7.45,1562138815,1589.524
77,509234,Pitkyaranta,RU,61.57,31.48,Rain,53.22,90,94,0.98,1562138815,4260.644
78,3437029,San Patricio,PY,-26.98,-56.83,Clouds,54.3,89,97,7.65,1562138816,1867.016
79,2180815,Tuatapere,NZ,-46.13,167.69,Rain,45.0,81,47,5.01,1562138816,3192.1960000000004
80,3870243,Taltal,CL,-25.41,-70.49,Clear,47.28,86,8,1.3,1562138816,1758.372
